site_id,visit_date,species,capture_life_stage,capture_animal_state,length,weight
70550,2017-08-11,ramu,adult,healthy,67,27
70550,2017-08-12,ramu,adult,healthy,49,13
70550,2017-08-12,ramu,adult,healthy,50,11
70550,2017-08-12,ramu,adult,healthy,50,14
70550,2015-07-10,ramu,adult,healthy,50,17
70550,2015-07-10,ramu,adult,healthy,40,7
70550,2015-07-10,ramu,adult,healthy,46,11
70550,2018-08-14,ramu,adult,healthy,62,24
70550,2018-08-14,ramu,adult,healthy,56,17
70550,2018-08-14,ramu,adult,healthy,61,29
70550,2018-06-30,ramu,adult,healthy,53,15
70550,2018-06-30,ramu,adult,healthy,54,19
70550,2018-08-16,ramu,adult,healthy,58,22
70550,2018-08-16,ramu,adult,healthy,62,29
70550,2018-08-16,ramu,adult,healthy,50,15
70550,2018-08-16,ramu,adult,healthy,58,25
70550,2018-08-16,ramu,adult,healthy,62,24
70550,2018-08-16,ramu,adult,healthy,59,23
70550,2018-08-16,ramu,adult,healthy,55,17
70550,2018-08-16,ramu,adult,healthy,55,17
70550,2018-08-16,ramu,adult,healthy,53,15
70550,2018-08-16,ramu,adult,healthy,56,19
70550,2018-08-16,ramu,adult,healthy,53,17
70550,2018-08-16,ramu,adult,healthy,59,25
70550,2018-08-16,ramu,adult,healthy,60,22
70550,2018-08-16,ramu,adult,healthy,53,21
70550,2018-08-16,ramu,adult,healthy,59,23
70550,2018-08-16,ramu,adult,healthy,61,26
70550,2018-08-16,ramu,adult,healthy,62,30
70550,2018-08-16,ramu,adult,healthy,59,23
70550,2018-08-16,ramu,adult,healthy,65,31
70550,2018-08-17,ramu,adult,healthy,69,35
70550,2018-08-17,ramu,adult,healthy,64,26
70550,2018-08-17,ramu,adult,healthy,57,21
70550,2018-08-17,ramu,adult,healthy,61,19
70550,2018-08-17,ramu,adult,healthy,54,20
70550,2018-08-17,ramu,adult,healthy,48,11
70550,2018-08-17,ramu,adult,healthy,63,26
70550,2018-08-17,ramu,adult,healthy,50,19
70550,2018-08-17,ramu,adult,healthy,51,14
70550,2018-08-17,ramu,adult,healthy,60,20
70550,2018-08-17,ramu,adult,healthy,58,18
70550,2015-07-10,ramu,adult,healthy,44,11
70550,2018-08-17,ramu,adult,healthy,50,12
70550,2018-08-17,ramu,adult,healthy,49,13
70550,2018-08-17,ramu,adult,healthy,64,31
70550,2018-08-17,ramu,adult,healthy,62,27
70550,2018-08-17,ramu,adult,healthy,58,20
70550,2018-08-17,ramu,adult,healthy,54,18
70550,2018-08-17,ramu,adult,healthy,61,26
70550,2018-08-18,ramu,adult,healthy,66,31
70550,2018-08-18,ramu,adult,healthy,63,29
70550,2018-08-18,ramu,adult,healthy,69,32
70550,2018-08-18,ramu,adult,healthy,62,27
70550,2018-08-18,ramu,adult,healthy,66,29
70550,2018-08-18,ramu,adult,healthy,59,23
70550,2018-08-18,ramu,adult,healthy,68,31
70550,2018-08-18,ramu,adult,healthy,64,24
70550,2018-08-18,ramu,adult,healthy,65,31
70550,2018-08-18,ramu,adult,healthy,67,29
70550,2015-07-10,ramu,adult,healthy,58,24
70550,2015-07-10,ramu,adult,healthy,54,21
70550,2013-08-27,ramu,adult,healthy,59,16
70550,2013-07-29,ramu,adult,sick,47,11
70550,2013-07-29,ramu,adult,healthy,51,17
70550,2013-07-29,ramu,adult,healthy,51,17
70550,2013-07-29,ramu,adult,healthy,50,18
70550,2013-07-23,ramu,adult,healthy,49,14
70550,2013-07-23,ramu,adult,healthy,51,15
70550,2013-07-23,ramu,adult,healthy,50,13
70550,2013-07-23,ramu,adult,healthy,51,14
70550,2013-08-27,ramu,adult,healthy,54,18
70550,2013-08-14,ramu,adult,healthy,46,11
70550,2013-09-10,ramu,adult,healthy,50,19
70550,2013-09-09,ramu,adult,healthy,53,18
70550,2013-09-10,ramu,adult,healthy,48,15
70550,2013-08-26,ramu,adult,healthy,50,20
70550,2013-09-10,ramu,adult,healthy,48,18
70550,2013-08-26,ramu,adult,healthy,59,21
70550,2013-08-26,ramu,adult,healthy,49,8
70550,2013-09-11,ramu,adult,healthy,52,16
70550,2013-08-08,ramu,adult,healthy,49,13
70550,2013-09-09,ramu,adult,healthy,48,12
